Model Version,Region,Sector,Technology,Type,PathwayScenario,Year,Value 
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Large","ResidualCapacity","GradualDevelopment_globalLimit","2040",7.846
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Large","ResidualCapacity","GradualDevelopment_globalLimit","2045",7.846
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Large","ResidualCapacity","GradualDevelopment_globalLimit","2050",7.846
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Large","TotalCapacity","GradualDevelopment_globalLimit","2018",7.846
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Large","TotalCapacity","GradualDevelopment_globalLimit","2025",7.846
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Large","TotalCapacity","GradualDevelopment_globalLimit","2030",7.846
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Large","TotalCapacity","GradualDevelopment_globalLimit","2035",7.846
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Large","TotalCapacity","GradualDevelopment_globalLimit","2040",7.846
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Large","TotalCapacity","GradualDevelopment_globalLimit","2045",7.846
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Large","TotalCapacity","GradualDevelopment_globalLimit","2050",7.846
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Small","ResidualCapacity","GradualDevelopment_globalLimit","2018",6.014
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Small","ResidualCapacity","GradualDevelopment_globalLimit","2025",6.014
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Small","ResidualCapacity","GradualDevelopment_globalLimit","2030",6.014
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Small","ResidualCapacity","GradualDevelopment_globalLimit","2035",6.014
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Small","ResidualCapacity","GradualDevelopment_globalLimit","2040",6.014
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Small","ResidualCapacity","GradualDevelopment_globalLimit","2045",6.014
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Small","ResidualCapacity","GradualDevelopment_globalLimit","2050",6.014
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Small","TotalCapacity","GradualDevelopment_globalLimit","2018",6.014
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Small","TotalCapacity","GradualDevelopment_globalLimit","2025",6.014
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Small","TotalCapacity","GradualDevelopment_globalLimit","2030",6.014
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Small","TotalCapacity","GradualDevelopment_globalLimit","2035",6.014
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Small","TotalCapacity","GradualDevelopment_globalLimit","2040",6.014
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Small","TotalCapacity","GradualDevelopment_globalLimit","2045",6.014
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Small","TotalCapacity","GradualDevelopment_globalLimit","2050",6.014
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","ResidualCapacity","GradualDevelopment_globalLimit","2018",1.438
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","ResidualCapacity","GradualDevelopment_globalLimit","2025",1.438
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","ResidualCapacity","GradualDevelopment_globalLimit","2030",1.438
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","ResidualCapacity","GradualDevelopment_globalLimit","2035",0.703188957455642
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","TotalCapacity","GradualDevelopment_globalLimit","2018",1.438
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","TotalCapacity","GradualDevelopment_globalLimit","2025",1.438
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","TotalCapacity","GradualDevelopment_globalLimit","2030",1.438
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","TotalCapacity","GradualDevelopment_globalLimit","2035",0.996533999999999
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","TotalCapacity","GradualDevelopment_globalLimit","2040",0.690598061999999
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","TotalCapacity","GradualDevelopment_globalLimit","2045",7.21148777554167
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","TotalCapacity","GradualDevelopment_globalLimit","2050",13.0417794270833
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","NewCapacity","GradualDevelopment_globalLimit","2035",0.293345042544357
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","NewCapacity","GradualDevelopment_globalLimit","2040",0.397253019455642
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","NewCapacity","GradualDevelopment_globalLimit","2045",6.52088971354167
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Avg","NewCapacity","GradualDevelopment_globalLimit","2050",5.83029165154167
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Inf","TotalCapacity","GradualDevelopment_globalLimit","2050",6.52088971354167
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Inf","NewCapacity","GradualDevelopment_globalLimit","2050",6.52088971354167
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Opt","TotalCapacity","GradualDevelopment_globalLimit","2035",6.27608354133207
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Opt","TotalCapacity","GradualDevelopment_globalLimit","2040",12.7969732548737
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Opt","TotalCapacity","GradualDevelopment_globalLimit","2045",13.0417794270833
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Opt","TotalCapacity","GradualDevelopment_globalLimit","2050",13.0417794270833
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Opt","NewCapacity","GradualDevelopment_globalLimit","2035",6.27608354133207
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Opt","NewCapacity","GradualDevelopment_globalLimit","2040",6.52088971354167
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_PV_Utility_Opt","NewCapacity","GradualDevelopment_globalLimit","2045",0.244806172209596
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Avg","ResidualCapacity","GradualDevelopment_globalLimit","2018",3.045
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Avg","ResidualCapacity","GradualDevelopment_globalLimit","2025",3.045
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Avg","ResidualCapacity","GradualDevelopment_globalLimit","2030",3.045
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Avg","ResidualCapacity","GradualDevelopment_globalLimit","2035",2.53738286070194
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Avg","TotalCapacity","GradualDevelopment_globalLimit","2018",3.045
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Avg","TotalCapacity","GradualDevelopment_globalLimit","2025",3.045
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Avg","TotalCapacity","GradualDevelopment_globalLimit","2030",3.045
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Avg","TotalCapacity","GradualDevelopment_globalLimit","2035",2.53738286070194
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Avg","TotalCapacity","GradualDevelopment_globalLimit","2040",1.66755218007053
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Avg","TotalCapacity","GradualDevelopment_globalLimit","2045",1.66755218007053
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Avg","TotalCapacity","GradualDevelopment_globalLimit","2050",1.66755218007053
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Avg","NewCapacity","GradualDevelopment_globalLimit","2040",1.66755218007053
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Opt","TotalCapacity","GradualDevelopment_globalLimit","2025",7.35269560724272
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Opt","TotalCapacity","GradualDevelopment_globalLimit","2030",12.00175654415
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Opt","TotalCapacity","GradualDevelopment_globalLimit","2035",17.216751371944
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Opt","TotalCapacity","GradualDevelopment_globalLimit","2040",19.8466666666667
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Opt","TotalCapacity","GradualDevelopment_globalLimit","2045",19.8466666666667
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Opt","TotalCapacity","GradualDevelopment_globalLimit","2050",19.8466666666667
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Opt","NewCapacity","GradualDevelopment_globalLimit","2025",7.35269560724272
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Opt","NewCapacity","GradualDevelopment_globalLimit","2030",4.64906093690725
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Opt","NewCapacity","GradualDevelopment_globalLimit","2035",5.21499482779401
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Opt","NewCapacity","GradualDevelopment_globalLimit","2040",2.62991529472269
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Wind_Onshore_Opt","NewCapacity","GradualDevelopment_globalLimit","2050",7.35269560724272
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_CCGT","ResidualCapacity","GradualDevelopment_globalLimit","2018",3.28991
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_CCGT","ResidualCapacity","GradualDevelopment_globalLimit","2025",1.95801822203673
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_CCGT","ResidualCapacity","GradualDevelopment_globalLimit","2030",0.626126444073456
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_CCGT","ResidualCapacity","GradualDevelopment_globalLimit","2035",0.626126444073456
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_CCGT","ResidualCapacity","GradualDevelopment_globalLimit","2040",0.626126444073456
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_CCGT","ResidualCapacity","GradualDevelopment_globalLimit","2045",0.313063222036728
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_CCGT","TotalCapacity","GradualDevelopment_globalLimit","2018",3.28991
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_CCGT","TotalCapacity","GradualDevelopment_globalLimit","2025",1.95801822203673
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_CCGT","TotalCapacity","GradualDevelopment_globalLimit","2030",0.626126444073456
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_CCGT","TotalCapacity","GradualDevelopment_globalLimit","2035",0.626126444073456
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_CCGT","TotalCapacity","GradualDevelopment_globalLimit","2040",0.626126444073456
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_CCGT","TotalCapacity","GradualDevelopment_globalLimit","2045",0.313063222036728
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_Engines","ResidualCapacity","GradualDevelopment_globalLimit","2018",0.256
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_Engines","ResidualCapacity","GradualDevelopment_globalLimit","2025",0.244
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_Engines","ResidualCapacity","GradualDevelopment_globalLimit","2030",0.232
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_Engines","ResidualCapacity","GradualDevelopment_globalLimit","2035",0.189
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_Engines","ResidualCapacity","GradualDevelopment_globalLimit","2040",0.146
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_Engines","ResidualCapacity","GradualDevelopment_globalLimit","2045",0.073
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_Engines","TotalCapacity","GradualDevelopment_globalLimit","2018",0.256
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_Engines","TotalCapacity","GradualDevelopment_globalLimit","2025",0.244
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_Engines","TotalCapacity","GradualDevelopment_globalLimit","2030",0.232
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_Engines","TotalCapacity","GradualDevelopment_globalLimit","2035",0.189
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_Engines","TotalCapacity","GradualDevelopment_globalLimit","2040",0.146
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_Engines","TotalCapacity","GradualDevelopment_globalLimit","2045",0.073
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_OCGT","ResidualCapacity","GradualDevelopment_globalLimit","2018",0.491532
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_OCGT","ResidualCapacity","GradualDevelopment_globalLimit","2025",0.454909920310982
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_OCGT","ResidualCapacity","GradualDevelopment_globalLimit","2030",0.418287840621963
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_OCGT","ResidualCapacity","GradualDevelopment_globalLimit","2035",0.325538443148688
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_OCGT","ResidualCapacity","GradualDevelopment_globalLimit","2040",0.232789045675413
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_OCGT","ResidualCapacity","GradualDevelopment_globalLimit","2045",0.116394522837707
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_OCGT","TotalCapacity","GradualDevelopment_globalLimit","2018",0.491532
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_OCGT","TotalCapacity","GradualDevelopment_globalLimit","2025",0.454909920310982
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_OCGT","TotalCapacity","GradualDevelopment_globalLimit","2030",0.418287840621963
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_OCGT","TotalCapacity","GradualDevelopment_globalLimit","2035",0.325538443148688
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_OCGT","TotalCapacity","GradualDevelopment_globalLimit","2040",0.232789045675413
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_OCGT","TotalCapacity","GradualDevelopment_globalLimit","2045",1.03810202591857
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_OCGT","TotalCapacity","GradualDevelopment_globalLimit","2050",0.921707503080861
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Gas_OCGT","NewCapacity","GradualDevelopment_globalLimit","2045",0.921707503080861
"oE_GradualDevelopment_efect_244_h0","AT","Power","Res_PV_Utility_Tracking","TotalCapacity","GradualDevelopment_globalLimit","2025",7.12007968515843
"oE_GradualDevelopment_efect_244_h0","AT","Power","Res_PV_Utility_Tracking","TotalCapacity","GradualDevelopment_globalLimit","2030",13.0417794270833
"oE_GradualDevelopment_efect_244_h0","AT","Power","Res_PV_Utility_Tracking","TotalCapacity","GradualDevelopment_globalLimit","2035",13.0417794270833
"oE_GradualDevelopment_efect_244_h0","AT","Power","Res_PV_Utility_Tracking","TotalCapacity","GradualDevelopment_globalLimit","2040",13.0417794270833
"oE_GradualDevelopment_efect_244_h0","AT","Power","Res_PV_Utility_Tracking","TotalCapacity","GradualDevelopment_globalLimit","2045",13.0417794270833
"oE_GradualDevelopment_efect_244_h0","AT","Power","Res_PV_Utility_Tracking","TotalCapacity","GradualDevelopment_globalLimit","2050",12.4425894554666
"oE_GradualDevelopment_efect_244_h0","AT","Power","Res_PV_Utility_Tracking","NewCapacity","GradualDevelopment_globalLimit","2025",7.12007968515843
"oE_GradualDevelopment_efect_244_h0","AT","Power","Res_PV_Utility_Tracking","NewCapacity","GradualDevelopment_globalLimit","2030",5.92169974192491
"oE_GradualDevelopment_efect_244_h0","AT","Power","Res_PV_Utility_Tracking","NewCapacity","GradualDevelopment_globalLimit","2050",6.52088971354167
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_BF_BOF","ResidualCapacity","GradualDevelopment_globalLimit","2018",7.6782
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_BF_BOF","ResidualCapacity","GradualDevelopment_globalLimit","2025",5.3556
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_BF_BOF","ResidualCapacity","GradualDevelopment_globalLimit","2030",3.2134
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_BF_BOF","ResidualCapacity","GradualDevelopment_globalLimit","2035",1.6067
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_BF_BOF","ResidualCapacity","GradualDevelopment_globalLimit","2040",0.6427
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_BF_BOF","ResidualCapacity","GradualDevelopment_globalLimit","2045",0.1286
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_BF_BOF","TotalCapacity","GradualDevelopment_globalLimit","2018",7.6782
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_BF_BOF","TotalCapacity","GradualDevelopment_globalLimit","2025",5.3556
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_BF_BOF","TotalCapacity","GradualDevelopment_globalLimit","2030",3.2134
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_BF_BOF","TotalCapacity","GradualDevelopment_globalLimit","2035",1.6067
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_BF_BOF","TotalCapacity","GradualDevelopment_globalLimit","2040",0.6427
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_BF_BOF","TotalCapacity","GradualDevelopment_globalLimit","2045",0.1286
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_Bio_BF_BOF","TotalCapacity","GradualDevelopment_globalLimit","2018",0.1373250784332
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_Bio_BF_BOF","TotalCapacity","GradualDevelopment_globalLimit","2025",0.1373250784332
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_Bio_BF_BOF","TotalCapacity","GradualDevelopment_globalLimit","2030",0.1373250784332
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_Bio_BF_BOF","TotalCapacity","GradualDevelopment_globalLimit","2035",0.1373250784332
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_Bio_BF_BOF","TotalCapacity","GradualDevelopment_globalLimit","2040",0.1373250784332
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_Bio_BF_BOF","TotalCapacity","GradualDevelopment_globalLimit","2045",0.023828278959796
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_Bio_BF_BOF","TotalCapacity","GradualDevelopment_globalLimit","2050",0.023828278959796
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_Bio_BF_BOF","NewCapacity","GradualDevelopment_globalLimit","2018",0.1373250784332
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_Bio_BF_BOF","NewCapacity","GradualDevelopment_globalLimit","2045",0.023828278959796
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_DRI_EAF","ResidualCapacity","GradualDevelopment_globalLimit","2018",0.8143
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_DRI_EAF","ResidualCapacity","GradualDevelopment_globalLimit","2025",0.568
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_DRI_EAF","ResidualCapacity","GradualDevelopment_globalLimit","2030",0.3408
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_DRI_EAF","ResidualCapacity","GradualDevelopment_globalLimit","2035",0.1704
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_DRI_EAF","ResidualCapacity","GradualDevelopment_globalLimit","2040",0.0682
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_DRI_EAF","ResidualCapacity","GradualDevelopment_globalLimit","2045",0.0137
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_DRI_EAF","TotalCapacity","GradualDevelopment_globalLimit","2018",1.04130378369004
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_DRI_EAF","TotalCapacity","GradualDevelopment_globalLimit","2025",0.795003783690036
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_DRI_EAF","TotalCapacity","GradualDevelopment_globalLimit","2030",0.567803783690036
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_DRI_EAF","TotalCapacity","GradualDevelopment_globalLimit","2035",0.397403783690036
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_DRI_EAF","TotalCapacity","GradualDevelopment_globalLimit","2040",0.0682
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_DRI_EAF","TotalCapacity","GradualDevelopment_globalLimit","2045",0.0137
"oE_GradualDevelopment_efect_244_h0","AT","Industry","HHI_DRI_EAF","NewCapacity","GradualDevelopment_globalLimit","2018",0.227003783690036
